Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity
Iceland,83.2,84.6,81.8,84.0,334395,10
India,72.5,74.1,71.0,37.1,542742539,492
Indonesia,71.4,73.6,69.3,59.6,170361295,158
Iran,78.1,80.0,76.2,73.3,67760281,57
Iraq,72.5,74.3,70.6,72.4,34038857,108
Ireland,82.7,84.7,80.8,62.1,3294830,77
Israel,82.8,84.8,80.7,91.4,8698204,440
Italy,84.0,86.0,81.9,72.0,42568771,201
Jamaica,71.7,74.3,69.2,60.2,1706544,262
Japan,85.0,88.0,82.0,93.1,114645589,338
Jordan,78.1,80.5,76.1,85.1,9802267,130
Kazakhstan,74.7,78.6,70.4,55.1,11494249,20
Kenya,64.0,66.3,61.8,31.9,18371967,101
Kiribati,66.7,68.5,64.8,57.3,78192,169
Kuwait,80.8,82.1,79.6,91.6,4602914,282
Kyrgyzstan,72.0,75.6,68.4,35.3,2573712,38
Laos,69.5,71.8,67.3,38.3,3018824,34
Latvia,76.5,80.7,71.9,67.5,1250246,30
Lebanon,78.1,80.0,76.0,86.0,5032693,572
Lesotho,58.2,60.9,55.4,32.8,774177,78
Liberia,62.5,63.8,61.1,55.0,3150252,60
Libya,73.2,75.3,71.2,77.5,5780434,11
Lithuania,76.3,80.9,71.6,68.2,1929035,45
Luxembourg,82.5,84.1,80.9,87.2,593272,263
Macao,83.4,85.5,81.3,97.1,701381,24067
Madagascar,64.0,65.8,62.3,40.3,13199949,56
Malawi,67.7,71.0,64.4,19.8,4407124,236
Malaysia,77.0,79.7,74.6,77.4,27844592,110
Maldives,81.5,83.2,80.2,39.6,209810,1766
Mali,60.9,62.4,59.5,44.4,11190626,21
Malta,83.6,85.5,81.7,76.5,417398,1704
Martinique,82.9,85.8,79.6,2025.0,None,321
Mauritania,68.9,71.0,66.9,60.3,3206736,13
Mauritius,75.3,78.5,72.3,41.5,526689,625
Mayotte,76.4,78.7,74.4,41.4,139411,899
Mexico,75.4,78.2,72.6,87.9,115925945,68
Micronesia,71.8,74.8,69.0,23.5,26661,162
Micronesia,71.8,74.8,69.0,23.5,26661,162
Moldova,71.5,75.8,66.8,57.7,1729211,91
Mongolia,72.2,76.9,67.8,67.2,2362934,1553560
Montenegro,77.4,80.6,74.1,68.7,434519,47
Morocco,75.7,78.0,73.5,67.3,25869035,86
Mozambique,64.0,66.9,60.7,41.6,14810679,45
Myanmar,67.3,70.6,64.2,34.1,18722491,84
Namibia,67.7,71.6,63.6,54.4,1683548,10
Nepal,70.9,72.4,69.3,24.5,7265589,207
Netherlands,82.4,84.0,80.9,88.9,16318658,544
New Caledonia,79.1,81.5,76.6,75.7,223627,16
New Zealand,82.4,84.0,80.8,83.6,4388310,20
Nicaragua,75.3,77.7,72.6,58.1,4071293,58
Niger,61.7,62.7,60.7,18.2,5067678,22
Nigeria,54.8,55.1,54.5,54.9,130312056,261
North Korea,73.9,76.0,71.7,63.3,16815725,221
North Macedonia,77.7,79.8,75.4,69.4,1258951,72
Norway,83.6,85.1,82.1,85.9,4830373,15
Oman,80.5,82.2,78.9,90.8,4989686,18
Pakistan,67.9,70.5,65.6,34.4,87777053,331
Panama,80.0,82.8,77.1,70.7,3229574,61
Papua New Guinea,66.4,69.3,63.9,12.6,1351201,24
Paraguay,74.1,77.2,71.1,68.0,4770669,18
Peru,78.1,80.5,75.8,80.6,27880400,27
Philippines,70.1,73.1,67.1,49.3,57606092,392
Poland,79.0,82.6,75.3,59.2,22598335,125
Portugal,82.7,85.4,79.9,66.5,6926293,114
Puerto Rico,82.1,85.5,78.5,2025.0,None,365
Qatar,82.7,83.6,82.0,96.6,3010901,268
Réunion,83.8,86.6,80.8,2025.0,None,353
Romania,76.2,79.8,72.7,55.2,10431178,82
Russia,73.5,79.3,67.7,75.0,108062384,23
Rwanda,68.2,70.4,65.9,18.3,2659944,591
Saint Lucia,73.0,76.6,69.6,19.9,35853,295
Samoa,71.9,74.0,70.1,16.3,35747,77
Sao Tome & Principe,70.1,74.1,66.6,78.2,187994,250
Saudi Arabia,79.2,81.5,77.6,92.1,31842626,16
Senegal,69.2,71.3,67.2,52.3,9903731,98
Serbia,77.1,80.3,73.9,73.6,4923756,76
Seychelles,73.1,76.8,70.2,43.8,58120,289
Sierra Leone,62.1,63.9,60.4,45.5,4017056,122
Singapore,84.0,86.5,81.5,2025.0,None,8387
Slovakia,78.7,81.8,75.4,54.0,2955290,114
Slovenia,81.9,84.6,79.3,55.7,1179249,105
Solomon Islands,70.8,72.3,69.5,22.8,190885,30
Somalia,59.1,61.7,56.6,46.6,9168559,31
South Africa,66.5,70.0,63.0,66.6,43112579,53
South Korea,84.5,87.4,81.4,82.4,42587468,531
South Sudan,57.9,60.9,54.9,27.7,3378254,20
Spain,84.0,86.6,81.3,79.3,37995950,96
Sri Lanka,77.9,80.9,74.7,18.1,4193316,370
St. Vincent & Grenadines,71.5,74.6,68.9,61.6,61573,256
State of Palestine,73.1,76.9,69.7,84.2,4707958,929
Sudan,66.7,70.0,63.6,35.3,18220482,29
Suriname,73.9,77.1,70.7,62.4,399428,11
Sweden,83.6,85.3,81.8,87.4,9309134,26
Switzerland,84.2,86.1,82.3,74.4,6668094,227
Syria,73.0,75.4,70.6,53.6,13735765,140
Taiwan,80.9,83.9,78.1,84.0,19421267,653
Tajikistan,72.1,74.3,69.8,27.7,2987515,77
Tanzania,67.4,70.2,64.6,40.0,28244987,80
Thailand,76.8,81.2,72.6,53.5,38343775,140
Timor-Leste,68.1,69.9,66.5,36.0,510529,95
Togo,63.1,63.4,62.9,44.2,4295574,179
Tonga,73.2,76.7,69.6,26.0,26950,144
Trinidad and Tobago,73.7,77.0,70.6,49.1,741616,295
Tunisia,76.9,79.5,74.3,71.7,8853818,79
Turkey,77.8,80.8,74.9,76.9,67446349,114
Turkmenistan,70.3,73.2,67.1,46.5,3540511,16
U.S. Virgin Islands,75.9,81.6,70.9,2025.0,None,240
Uganda,68.7,71.6,65.7,30.0,15430672,257
Ukraine,74.9,79.5,70.0,76.8,29923619,67
United Arab Emirates,83.2,84.4,82.4,81.1,9207088,136
United Kingdom,81.6,83.4,79.7,84.5,58798650,287
United States,79.6,82.1,77.2,82.8,287421363,38
Uruguay,78.5,82.2,74.6,2025.0,None,19
Uzbekistan,72.7,75.7,69.7,48.1,17835913,87
Vanuatu,71.8,74.3,69.7,25.4,85244,27
Venezuela,72.8,76.8,69.1,2025.0,None,32
Vietnam,74.9,79.5,70.2,41.4,42039428,328
Western Sahara,71.8,74.0,70.1,97.0,583007,266000
Yemen,69.6,71.7,67.5,33.0,13801674,79
Zambia,66.7,69.1,64.3,46.8,10256668,29
Zimbabwe,63.3,65.6,60.8,37.9,6429761,44
